Property ID,Address,Size (sq ft),Age (years),Type,Floors,Condition,Construction Material,Fire Safety Systems,Accessibility Features,Recent Renovations,Current Use,Occupancy Status,Environmental Hazards,Inspection ID,Date of Last Inspection,Inspection Results,Identified Issues,Compliance Status,Quote ID,Service Required,Service Cost,Date of Quote,Region,Time Taken to Generate Quote,Quote Expiry Date,Quote Closure Status,Has Alarms,Has Sprinklers,Has Extinguishers
7,"327 Eric Corners
Mariafort, KS 71948",8709,45,Industrial,2,Excellent,Steel,Extinguishers,"Elevator, Ramps",Indicate probably.,Warehouse,Vacant,Asbestos,32315.0,2022-08-16,Failed,Kid create control strategy movie necessary late.,Non-compliant,42277.0,Interior Painting,3904.1,2024-09-06,Victoriashire,2 days,2024-12-19,Expired,0,0,1
7,"327 Eric Corners
Mariafort, KS 71948",8709,45,Industrial,2,Excellent,Steel,Extinguishers,"Elevator, Ramps",Indicate probably.,Warehouse,Vacant,Asbestos,46690.0,2024-06-25,Passed with minor issues,Moment even friend.,Non-compliant,42277.0,Interior Painting,3904.1,2024-09-06,Victoriashire,2 days,2024-12-19,Expired,0,0,1
8,"686 Barbara Keys Apt. 300
Port Jonathan, WV 19649",6063,89,Industrial,1,Excellent,Wood,"Extinguishers, Sprinklers, Alarms","None, Ramps",High police.,Retail,Vacant,Mold,25571.0,2022-05-15,Passed,Look create or concern either.,Non-compliant,25750.0,HVAC Installation,3282.63,2024-07-17,Michaelmouth,6 days,2025-01-20,Expired,1,1,1
8,"686 Barbara Keys Apt. 300
Port Jonathan, WV 19649",6063,89,Industrial,1,Excellent,Wood,"Extinguishers, Sprinklers, Alarms","None, Ramps",High police.,Retail,Vacant,Mold,25571.0,2022-05-15,Passed,Look create or concern either.,Non-compliant,43390.0,Roof Repair,2428.8,2024-03-21,Matthewmouth,2 days,2025-03-28,Pending,1,1,1
28,"84530 Hobbs Springs Apt. 340
Lake Davidbury, MD 20651",2823,100,Commercial,8,Excellent,Wood,"Alarms, Extinguishers",Elevator,Chance federal in.,Retail,Vacant,Asbestos,9274.0,2023-11-06,Passed,Officer responsibility place month.,Compliant,34751.0,Roof Repair,4465.96,2024-03-28,New Richard,1 days,2024-10-08,Expired,1,0,1
28,"84530 Hobbs Springs Apt. 340
Lake Davidbury, MD 20651",2823,100,Commercial,8,Excellent,Wood,"Alarms, Extinguishers",Elevator,Chance federal in.,Retail,Vacant,Asbestos,9274.0,2023-11-06,Passed,Officer responsibility place month.,Compliant,47652.0,Electrical Work,4547.91,2024-08-02,Fernandezville,7 days,2024-10-04,Converted,1,0,1
30,"092 Ryan Path Apt. 224
Leahhaven, DE 42877",8871,79,Residential,3,Poor,Concrete,"Alarms, Sprinklers, Extinguishers","None, Wide Doorways, Ramps, Elevator",Environment we suggest agree.,Office,Occupied,Asbestos,26181.0,2024-01-04,Passed with minor issues,Decision building east wide.,Compliant,36390.0,Interior Painting,992.35,2024-08-03,South Stephanieview,6 days,2025-06-11,Closed,1,1,1
50,"731 Hayes Run Suite 658
Brittanyburgh, ND 21477",2178,48,Commercial,8,Excellent,Steel,"Sprinklers, Alarms, Extinguishers","Wide Doorways, Ramps, Elevator",Page political relationship.,Office,Occupied,Mold,25172.0,2023-01-13,Passed,Tend heart rest white degree line.,Compliant,20669.0,Interior Painting,4540.61,2024-05-02,North Lisashire,2 days,2024-11-21,Pending,1,1,1
50,"731 Hayes Run Suite 658
Brittanyburgh, ND 21477",2178,48,Commercial,8,Excellent,Steel,"Sprinklers, Alarms, Extinguishers","Wide Doorways, Ramps, Elevator",Page political relationship.,Office,Occupied,Mold,25172.0,2023-01-13,Passed,Tend heart rest white degree line.,Compliant,45512.0,Plumbing,3281.02,2024-06-16,Thompsontown,4 days,2024-11-20,Converted,1,1,1
69,"93719 Cervantes Key Apt. 407
Rojasmouth, MN 46001",8796,63,Industrial,1,Good,Brick,"Sprinklers, Alarms","None, Ramps",Financial commercial.,Warehouse,Occupied,Mold,19684.0,2023-10-23,Passed with minor issues,Mrs develop spring attorney fight kind.,Non-compliant,22281.0,Interior Painting,2866.44,2024-03-29,Frychester,5 days,2025-04-05,Closed,1,1,0
69,"93719 Cervantes Key Apt. 407
Rojasmouth, MN 46001",8796,63,Industrial,1,Good,Brick,"Sprinklers, Alarms","None, Ramps",Financial commercial.,Warehouse,Occupied,Mold,19684.0,2023-10-23,Passed with minor issues,Mrs develop spring attorney fight kind.,Non-compliant,31981.0,HVAC Installation,815.52,2024-05-16,Lake Meganburgh,3 days,2025-03-12,Closed,1,1,0
82,"21092 Peterson Row
Port Michaelberg, TX 28408",9732,69,Residential,10,Excellent,Steel,Sprinklers,Elevator,World material.,Warehouse,Vacant,Mold,30667.0,2021-10-24,Passed with minor issues,Quite thousand event too somebody.,Non-compliant,26063.0,Roof Repair,3477.67,2024-05-13,Earlbury,5 days,2025-06-10,Closed,0,1,0
82,"21092 Peterson Row
Port Michaelberg, TX 28408",9732,69,Residential,10,Excellent,Steel,Sprinklers,Elevator,World material.,Warehouse,Vacant,Mold,30667.0,2021-10-24,Passed with minor issues,Quite thousand event too somebody.,Non-compliant,26212.0,Plumbing,3228.79,2023-11-17,North Joemouth,3 days,2025-04-03,Converted,0,1,0
82,"21092 Peterson Row
Port Michaelberg, TX 28408",9732,69,Residential,10,Excellent,Steel,Sprinklers,Elevator,World material.,Warehouse,Vacant,Mold,30667.0,2021-10-24,Passed with minor issues,Quite thousand event too somebody.,Non-compliant,38109.0,Interior Painting,2156.6,2024-01-29,Levystad,3 days,2025-02-08,Closed,0,1,0
162,"0775 Ellison Corner
South Victoriatown, CT 84653",5759,47,Residential,5,Poor,Brick,"Alarms, Extinguishers, Sprinklers",Wide Doorways,Toward guy sound lay.,Retail,Occupied,Lead Paint,1293.0,2021-12-13,Failed,Later loss west spend.,Compliant,3393.0,Electrical Work,1434.68,2024-04-06,Gomeztown,4 days,2024-10-26,Converted,1,1,1
162,"0775 Ellison Corner
South Victoriatown, CT 84653",5759,47,Residential,5,Poor,Brick,"Alarms, Extinguishers, Sprinklers",Wide Doorways,Toward guy sound lay.,Retail,Occupied,Lead Paint,21593.0,2023-10-02,Failed,Bed allow air scene ball.,Compliant,3393.0,Electrical Work,1434.68,2024-04-06,Gomeztown,4 days,2024-10-26,Converted,1,1,1
215,"7574 Davenport Crossroad
East Kennethbury, HI 59831",9438,18,Industrial,7,Fair,Concrete,"Alarms, Extinguishers","None, Ramps, Wide Doorways, Elevator",Today.,Retail,Vacant,Mold,10134.0,2023-03-23,Failed,Civil mission push piece prepare rich.,Non-compliant,33966.0,Plumbing,2877.05,2024-06-02,Charlesville,2 days,2025-02-22,Converted,1,0,1
223,"6175 Gregory Bypass Suite 549
Morabury, NC 93220",8260,88,Industrial,8,Fair,Wood,"Alarms, Sprinklers",Ramps,Beyond body science.,Residential,Occupied,Mold,10523.0,2022-07-03,Passed with minor issues,Evidence source somebody so.,Compliant,41185.0,HVAC Installation,3693.88,2024-08-14,Andrewville,1 days,2024-09-28,Closed,1,1,0
234,"2024 Parsons Dale Apt. 882
South Timothyside, SD 36900",8951,66,Residential,4,Poor,Steel,"Extinguishers, Sprinklers",Elevator,Media those.,Warehouse,Vacant,Lead Paint,41407.0,2024-07-13,Failed,Nice husband official trip improve instead.,Non-compliant,12000.0,Roof Repair,2040.56,2024-07-03,Theresachester,2 days,2025-06-10,Closed,0,1,1
234,"2024 Parsons Dale Apt. 882
South Timothyside, SD 36900",8951,66,Residential,4,Poor,Steel,"Extinguishers, Sprinklers",Elevator,Media those.,Warehouse,Vacant,Lead Paint,41407.0,2024-07-13,Failed,Nice husband official trip improve instead.,Non-compliant,18823.0,Plumbing,4942.62,2023-09-21,Lake Meganburgh,5 days,2024-09-26,Pending,0,1,1
247,"81683 Rodriguez Trace
Sandovalburgh, MD 72179",2281,47,Industrial,1,Poor,Brick,"Extinguishers, Alarms","None, Elevator, Wide Doorways, Ramps",Five including.,Retail,Occupied,Lead Paint,2934.0,2024-02-18,Passed with minor issues,Thing be threat role.,Compliant,10580.0,Interior Painting,4529.16,2024-07-27,Marshallfort,1 days,2025-05-26,Expired,1,0,1
247,"81683 Rodriguez Trace
Sandovalburgh, MD 72179",2281,47,Industrial,1,Poor,Brick,"Extinguishers, Alarms","None, Elevator, Wide Doorways, Ramps",Five including.,Retail,Occupied,Lead Paint,2934.0,2024-02-18,Passed with minor issues,Thing be threat role.,Compliant,23789.0,Roof Repair,4697.7,2024-06-28,Riveramouth,2 days,2024-11-24,Converted,1,0,1
247,"81683 Rodriguez Trace
Sandovalburgh, MD 72179",2281,47,Industrial,1,Poor,Brick,"Extinguishers, Alarms","None, Elevator, Wide Doorways, Ramps",Five including.,Retail,Occupied,Lead Paint,13588.0,2023-12-10,Passed with minor issues,Century prove region grow Democrat.,Compliant,10580.0,Interior Painting,4529.16,2024-07-27,Marshallfort,1 days,2025-05-26,Expired,1,0,1
247,"81683 Rodriguez Trace
Sandovalburgh, MD 72179",2281,47,Industrial,1,Poor,Brick,"Extinguishers, Alarms","None, Elevator, Wide Doorways, Ramps",Five including.,Retail,Occupied,Lead Paint,13588.0,2023-12-10,Passed with minor issues,Century prove region grow Democrat.,Compliant,23789.0,Roof Repair,4697.7,2024-06-28,Riveramouth,2 days,2024-11-24,Converted,1,0,1
258,"4291 Danielle Dale Suite 140
Lisafurt, NM 92813",9335,81,Industrial,7,Excellent,Steel,Alarms,"Wide Doorways, Elevator, None, Ramps",Relate manage.,Retail,Vacant,Asbestos,15171.0,2023-09-16,Passed with minor issues,Learn network another law.,Non-compliant,19192.0,Interior Painting,1661.32,2024-07-23,West Zacharyport,3 days,2024-10-23,Closed,1,0,0
260,"80014 Cox Walks Suite 675
Brittneyland, MI 87340",4239,12,Residential,10,Good,Steel,"Extinguishers, Sprinklers",Elevator,Traditional to other.,Warehouse,Vacant,Mold,37895.0,2024-02-13,Passed,Large miss wind student amount.,Non-compliant,42054.0,Electrical Work,4101.25,2024-07-09,Port Steven,7 days,2025-08-24,Closed,0,1,1
267,"2302 Collins Manors
South Susanbury, OR 49818",2514,88,Commercial,5,Good,Wood,Extinguishers,"Wide Doorways, Elevator, Ramps, None",More technology.,Warehouse,Occupied,Mold,3144.0,2023-10-13,Passed,Knowledge right hot should simply.,Compliant,43644.0,Plumbing,3388.96,2023-12-05,Walshbury,7 days,2025-03-13,Closed,0,0,1
278,"PSC 9862, Box 6770
APO AP 72108",2768,33,Industrial,6,Excellent,Concrete,"Extinguishers, Sprinklers","Ramps, None, Elevator, Wide Doorways",Trial service sell.,Warehouse,Vacant,Mold,21469.0,2023-01-28,Passed with minor issues,Day maybe increase whatever.,Compliant,25654.0,HVAC Installation,2431.13,2024-05-10,Henryfurt,5 days,2025-03-15,Converted,0,1,1
346,"167 Pacheco Route Apt. 116
Markmouth, RI 63113",4340,86,Industrial,9,Good,Steel,"Alarms, Extinguishers","Ramps, Elevator, None, Wide Doorways",Opportunity piece listen.,Office,Occupied,Asbestos,28853.0,2024-07-18,Failed,Life protect person attention decade born.,Non-compliant,4499.0,Interior Painting,4366.78,2024-01-02,Bernardmouth,2 days,2024-10-23,Pending,1,0,1
383,"85170 Christopher Course
Lake Alexisburgh, ND 63473",7219,27,Commercial,8,Excellent,Concrete,"Alarms, Sprinklers","None, Ramps, Wide Doorways, Elevator",Face girl dark.,Office,Vacant,Lead Paint,14608.0,2024-05-12,Passed,Modern three whole heavy ball keep.,Non-compliant,32997.0,Interior Painting,2386.18,2024-05-11,West Coryland,4 days,2024-12-02,Closed,1,1,0
383,"85170 Christopher Course
Lake Alexisburgh, ND 63473",7219,27,Commercial,8,Excellent,Concrete,"Alarms, Sprinklers","None, Ramps, Wide Doorways, Elevator",Face girl dark.,Office,Vacant,Lead Paint,29305.0,2023-10-28,Passed,Read trade wrong organization enjoy.,Non-compliant,32997.0,Interior Painting,2386.18,2024-05-11,West Coryland,4 days,2024-12-02,Closed,1,1,0
406,"Unit 9796 Box 7604
DPO AA 88099",1987,10,Commercial,3,Excellent,Wood,Extinguishers,"Ramps, Elevator, Wide Doorways",Single long.,Office,Occupied,Mold,43085.0,2021-09-20,Passed,Different section structure woman specific.,Compliant,33511.0,Interior Painting,3697.42,2024-02-04,Sharonchester,7 days,2025-06-18,Closed,0,0,1
406,"Unit 9796 Box 7604
DPO AA 88099",1987,10,Commercial,3,Excellent,Wood,Extinguishers,"Ramps, Elevator, Wide Doorways",Single long.,Office,Occupied,Mold,43085.0,2021-09-20,Passed,Different section structure woman specific.,Compliant,48505.0,HVAC Installation,2496.24,2023-10-22,East Benjaminside,5 days,2025-05-31,Pending,0,0,1
413,"2481 Bonnie Extensions
Victoriaborough, SC 55527",1704,5,Commercial,7,Excellent,Wood,Alarms,"Ramps, Elevator",Understand study.,Residential,Vacant,Mold,20196.0,2022-09-04,Failed,Another over bar consider middle.,Non-compliant,23600.0,Roof Repair,4717.81,2023-12-30,Port Williamburgh,4 days,2025-05-15,Closed,1,0,0
418,"118 Stephanie Rapids Suite 043
North Alex, VT 12232",7735,6,Residential,7,Fair,Concrete,"Sprinklers, Extinguishers","None, Elevator, Wide Doorways, Ramps",Fly task will.,Warehouse,Occupied,Lead Paint,6809.0,2022-01-23,Passed,Person money will direction ability figure.,Compliant,15623.0,Plumbing,4385.94,2024-07-24,Ibarraview,1 days,2025-04-17,Closed,0,1,1
418,"118 Stephanie Rapids Suite 043
North Alex, VT 12232",7735,6,Residential,7,Fair,Concrete,"Sprinklers, Extinguishers","None, Elevator, Wide Doorways, Ramps",Fly task will.,Warehouse,Occupied,Lead Paint,6809.0,2022-01-23,Passed,Person money will direction ability figure.,Compliant,26712.0,Interior Painting,1268.0,2024-07-23,Abigailview,3 days,2025-09-08,Pending,0,1,1
423,"0365 Sydney Center Suite 049
North Gregory, OH 94786",2557,57,Residential,9,Fair,Steel,Sprinklers,"None, Wide Doorways",Tend seat.,Retail,Vacant,Mold,26567.0,2023-10-10,Failed,And eat population marriage loss animal staff project.,Non-compliant,24394.0,Interior Painting,649.38,2024-03-12,Amandamouth,7 days,2025-06-01,Expired,0,1,0
423,"0365 Sydney Center Suite 049
North Gregory, OH 94786",2557,57,Residential,9,Fair,Steel,Sprinklers,"None, Wide Doorways",Tend seat.,Retail,Vacant,Mold,26567.0,2023-10-10,Failed,And eat population marriage loss animal staff project.,Non-compliant,28966.0,Interior Painting,2325.02,2024-01-04,Shannonchester,5 days,2025-05-24,Converted,0,1,0
504,"388 Christina Islands Suite 713
Martinton, WY 58230",8078,11,Industrial,10,Good,Brick,Alarms,"None, Elevator, Wide Doorways, Ramps",Their then.,Office,Occupied,Mold,39264.0,2023-10-31,Passed with minor issues,Represent visit life culture huge.,Compliant,10613.0,Plumbing,4553.19,2023-12-05,Frostburgh,3 days,2025-02-20,Converted,1,0,0
504,"388 Christina Islands Suite 713
Martinton, WY 58230",8078,11,Industrial,10,Good,Brick,Alarms,"None, Elevator, Wide Doorways, Ramps",Their then.,Office,Occupied,Mold,39264.0,2023-10-31,Passed with minor issues,Represent visit life culture huge.,Compliant,30135.0,HVAC Installation,4618.88,2024-01-02,Johnsonview,4 days,2025-08-16,Converted,1,0,0
560,"418 James Shoal
North Laura, CO 77383",574,51,Commercial,7,Good,Brick,Sprinklers,Wide Doorways,Industry important everything.,Residential,Vacant,Asbestos,26689.0,2022-09-01,Passed with minor issues,Yourself look sport themselves employee.,Non-compliant,20403.0,Interior Painting,3296.83,2024-02-23,South Patrick,3 days,2025-05-11,Converted,0,1,0
607,"5120 Brenda Turnpike
Lake Jessica, KS 20035",5560,100,Residential,3,Poor,Brick,Alarms,"Ramps, Wide Doorways, Elevator",We name bad.,Office,Vacant,Lead Paint,39525.0,2023-02-02,Passed,Picture late event nice they scientist.,Non-compliant,35862.0,Electrical Work,4181.48,2024-08-24,Mcdonaldtown,1 days,2025-02-05,Converted,1,0,0
607,"5120 Brenda Turnpike
Lake Jessica, KS 20035",5560,100,Residential,3,Poor,Brick,Alarms,"Ramps, Wide Doorways, Elevator",We name bad.,Office,Vacant,Lead Paint,39525.0,2023-02-02,Passed,Picture late event nice they scientist.,Non-compliant,45034.0,Electrical Work,3724.89,2024-07-25,Annahaven,2 days,2025-01-05,Expired,1,0,0
