Property ID,Address,Size (sq ft),Age (years),Type,Floors,Condition,Construction Material,Fire Safety Systems,Accessibility Features,Recent Renovations,Current Use,Occupancy Status,Environmental Hazards,Inspection ID,Date of Last Inspection,Inspection Results,Identified Issues,Compliance Status,Quote ID,Service Required,Service Cost,Date of Quote,Region,Time Taken to Generate Quote,Quote Expiry Date,Quote Closure Status,Has Alarms,Has Sprinklers,Has Extinguishers
5,"12098 Dodson Junctions Apt. 267
Lewistown, UT 04824",608,69,Residential,5,Fair,Brick,"Alarms, Sprinklers","Ramps, Elevator, None",None,Residential,Vacant,None,25614.0,2023-12-08,Failed,None,Non-compliant,11339.0,Plumbing,1852.81,2024-08-12,Wilcoxborough,2 days,2025-01-08,Converted,1,1,0
10,"PSC 7864, Box 4663
APO AP 00979",7906,85,Industrial,6,Good,Concrete,"Extinguishers, Sprinklers","None, Elevator, Wide Doorways, Ramps",Everything candidate.,Residential,Vacant,None,12635.0,2022-01-11,Passed with minor issues,None,Compliant,38406.0,Roof Repair,1517.05,2024-01-16,Hawkinsside,2 days,2025-06-01,Converted,0,1,1
10,"PSC 7864, Box 4663
APO AP 00979",7906,85,Industrial,6,Good,Concrete,"Extinguishers, Sprinklers","None, Elevator, Wide Doorways, Ramps",Everything candidate.,Residential,Vacant,None,13785.0,2023-01-06,Failed,Thing material ago year ever approach car.,Compliant,38406.0,Roof Repair,1517.05,2024-01-16,Hawkinsside,2 days,2025-06-01,Converted,0,1,1
10,"PSC 7864, Box 4663
APO AP 00979",7906,85,Industrial,6,Good,Concrete,"Extinguishers, Sprinklers","None, Elevator, Wide Doorways, Ramps",Everything candidate.,Residential,Vacant,None,48979.0,2022-03-02,Passed,None,Non-compliant,38406.0,Roof Repair,1517.05,2024-01-16,Hawkinsside,2 days,2025-06-01,Converted,0,1,1
11,"933 Williams Freeway Suite 530
Mariaberg, WY 95136",6851,35,Commercial,9,Good,Steel,"Alarms, Extinguishers, Sprinklers","None, Elevator, Ramps",None,Warehouse,Vacant,None,27902.0,2023-06-09,Passed with minor issues,Catch career economy story.,Non-compliant,5482.0,Roof Repair,1879.67,2024-02-01,Michelleshire,2 days,2025-06-02,Pending,1,1,1
11,"933 Williams Freeway Suite 530
Mariaberg, WY 95136",6851,35,Commercial,9,Good,Steel,"Alarms, Extinguishers, Sprinklers","None, Elevator, Ramps",None,Warehouse,Vacant,None,27902.0,2023-06-09,Passed with minor issues,Catch career economy story.,Non-compliant,34559.0,Roof Repair,2366.11,2024-07-30,Lake Karen,7 days,2025-02-03,Closed,1,1,1
13,"5255 Pitts Center
Johnsonfort, MD 99351",529,17,Industrial,1,Fair,Wood,Alarms,"Ramps, Elevator, Wide Doorways",None,Warehouse,Occupied,Asbestos,6460.0,2023-09-11,Passed with minor issues,None,Non-compliant,25530.0,HVAC Installation,2565.42,2024-05-11,East Tina,1 days,2025-06-28,Converted,1,0,0
13,"5255 Pitts Center
Johnsonfort, MD 99351",529,17,Industrial,1,Fair,Wood,Alarms,"Ramps, Elevator, Wide Doorways",None,Warehouse,Occupied,Asbestos,7360.0,2023-03-21,Passed with minor issues,None,Non-compliant,25530.0,HVAC Installation,2565.42,2024-05-11,East Tina,1 days,2025-06-28,Converted,1,0,0
13,"5255 Pitts Center
Johnsonfort, MD 99351",529,17,Industrial,1,Fair,Wood,Alarms,"Ramps, Elevator, Wide Doorways",None,Warehouse,Occupied,Asbestos,43944.0,2023-06-27,Failed,None,Compliant,25530.0,HVAC Installation,2565.42,2024-05-11,East Tina,1 days,2025-06-28,Converted,1,0,0
14,"08691 Sarah Keys Apt. 121
East Dylanmouth, CA 93712",2833,28,Commercial,8,Fair,Concrete,"Sprinklers, Extinguishers, Alarms","Wide Doorways, Elevator",None,Office,Vacant,None,29899.0,2021-11-22,Failed,Recently between improve adult.,Compliant,1548.0,Electrical Work,4406.45,2024-08-19,West Christina,4 days,2025-02-22,Pending,1,1,1
16,"81410 Jasmine Manors Suite 421
South Stephanie, ND 06094",7193,49,Commercial,1,Poor,Wood,"Alarms, Sprinklers","Elevator, None, Ramps, Wide Doorways",Spend.,Warehouse,Occupied,Mold,44012.0,2022-07-23,Failed,Wife entire past.,Non-compliant,4214.0,Electrical Work,4745.01,2023-10-15,East Stephenchester,6 days,2025-06-29,Pending,1,1,0
16,"81410 Jasmine Manors Suite 421
South Stephanie, ND 06094",7193,49,Commercial,1,Poor,Wood,"Alarms, Sprinklers","Elevator, None, Ramps, Wide Doorways",Spend.,Warehouse,Occupied,Mold,44012.0,2022-07-23,Failed,Wife entire past.,Non-compliant,5946.0,Plumbing,3956.44,2024-07-16,South Davidfurt,3 days,2025-02-12,Converted,1,1,0
18,"USNS Kramer
FPO AA 77364",5476,64,Commercial,1,Fair,Steel,"Alarms, Sprinklers, Extinguishers",Wide Doorways,None,Residential,Occupied,Mold,1494.0,2023-09-22,Passed with minor issues,Remain whatever product something since rate grow.,Compliant,18447.0,HVAC Installation,4585.49,2023-10-06,Lovebury,5 days,2024-10-19,Pending,1,1,1
18,"USNS Kramer
FPO AA 77364",5476,64,Commercial,1,Fair,Steel,"Alarms, Sprinklers, Extinguishers",Wide Doorways,None,Residential,Occupied,Mold,1494.0,2023-09-22,Passed with minor issues,Remain whatever product something since rate grow.,Compliant,45807.0,Plumbing,4044.12,2023-12-13,East Jillbury,2 days,2025-06-27,Expired,1,1,1
18,"USNS Kramer
FPO AA 77364",5476,64,Commercial,1,Fair,Steel,"Alarms, Sprinklers, Extinguishers",Wide Doorways,None,Residential,Occupied,Mold,9174.0,2022-01-05,Failed,Change lot heavy information detail someone third.,Compliant,18447.0,HVAC Installation,4585.49,2023-10-06,Lovebury,5 days,2024-10-19,Pending,1,1,1
18,"USNS Kramer
FPO AA 77364",5476,64,Commercial,1,Fair,Steel,"Alarms, Sprinklers, Extinguishers",Wide Doorways,None,Residential,Occupied,Mold,9174.0,2022-01-05,Failed,Change lot heavy information detail someone third.,Compliant,45807.0,Plumbing,4044.12,2023-12-13,East Jillbury,2 days,2025-06-27,Expired,1,1,1
23,"Unit 7832 Box 6539
DPO AA 46656",6852,16,Residential,1,Excellent,Steel,Alarms,None,Your share but.,Warehouse,Occupied,Mold,20703.0,2022-11-23,Failed,Clearly hope group minute never play away door.,Non-compliant,6631.0,Roof Repair,2074.19,2024-08-06,Port Karen,4 days,2025-05-13,Closed,1,0,0
23,"Unit 7832 Box 6539
DPO AA 46656",6852,16,Residential,1,Excellent,Steel,Alarms,None,Your share but.,Warehouse,Occupied,Mold,20703.0,2022-11-23,Failed,Clearly hope group minute never play away door.,Non-compliant,20636.0,Roof Repair,2947.63,2024-01-12,West Ricky,3 days,2024-10-06,Pending,1,0,0
29,"2156 Luis Mission Apt. 085
Petersonshire, AZ 51190",8467,55,Industrial,1,Excellent,Wood,"Sprinklers, Extinguishers, Alarms",Wide Doorways,None,Warehouse,Occupied,Mold,1653.0,2024-05-16,Passed with minor issues,Hot too education worker able.,Compliant,22707.0,Interior Painting,1310.21,2024-01-15,East Emilymouth,5 days,2025-01-04,Closed,1,1,1
29,"2156 Luis Mission Apt. 085
Petersonshire, AZ 51190",8467,55,Industrial,1,Excellent,Wood,"Sprinklers, Extinguishers, Alarms",Wide Doorways,None,Warehouse,Occupied,Mold,17452.0,2022-10-12,Passed with minor issues,None,Non-compliant,22707.0,Interior Painting,1310.21,2024-01-15,East Emilymouth,5 days,2025-01-04,Closed,1,1,1
