Company ID,Company Name,Service Areas,Pricing Models,Competitor Pricing,Service Offerings,Client Feedback and Ratings
1,"Torres, Dennis and Mendez","Mariaport, Kellymouth",Subscription,Lower,"Cleaning, HVAC, Plumbing",4.0
2,Wright Inc,"Valenzuelastad, Monicafurt, Alexandraland",Project-based,Lower,"Painting, Renovation, Roofing, HVAC",4.4
3,Harrison LLC,"Donnastad, Nelsontown, Allenland",Subscription,Higher,"Painting, Maintenance",4.0
4,Lee-Bates,Wrightshire,Hourly Rate,Competitive,"Maintenance, Cleaning, Electrical, Renovation, Plumbing",4.0
5,Newman-Myers,"Coxmouth, Lake Madeline, Clarkside",Flat Rate,Lower,Cleaning,3.2
6,Martinez Group,Port Natalie,Project-based,Competitive,"Painting, Electrical, Cleaning, Maintenance",3.5
7,"Bennett, Martin and Lopez",Seantown,Project-based,Higher,Plumbing,5.0
8,"Wolf, Smith and Gutierrez","Port Tiffanyshire, East Johnchester, Ericport",Flat Rate,Competitive,"Painting, Plumbing, Cleaning",4.8
9,"Fields, Estes and Hill","Amyview, Port Dawnchester, North Thomas",Project-based,Higher,"Roofing, Cleaning, Renovation",3.4
10,"Arias, Smith and Taylor","Smithburgh, Lake Katieland, North Elizabethfort",Project-based,Higher,"Painting, Plumbing, Maintenance, Roofing, Renovation",3.0
11,Brown and Sons,"New Robinburgh, North Melaniemouth",Project-based,Competitive,Cleaning,3.6
12,"Fitzgerald, Powell and Fitzpatrick","Kelseyshire, Karenhaven, Lake Jeanside",Hourly Rate,Higher,Painting,3.0
13,Carter and Sons,"West Kevinville, Lake Taylor, Mathewton",Hourly Rate,Competitive,"Cleaning, Electrical, Roofing, HVAC, Maintenance",3.4
14,Atkins Inc,Mcphersonfort,Hourly Rate,Higher,"Cleaning, Maintenance, Electrical, HVAC, Roofing",3.3
15,"Ramirez, Mcconnell and Nguyen","Port Elizabeth, Stevenstad, Christianstad",Subscription,Higher,"Cleaning, Painting, HVAC, Maintenance, Plumbing",4.7
16,King Group,"Priceview, Anabury, Geraldfurt",Project-based,Lower,"Cleaning, Maintenance, Painting, HVAC, Electrical",4.4
17,"Martin, Daniel and Harper","Cynthiabury, Sandersburgh",Project-based,Competitive,"Plumbing, Maintenance, Renovation, Electrical",4.2
18,Smith-Moreno,"Lake Deannafurt, Mackville, East Charles",Flat Rate,Higher,"Maintenance, Electrical",3.7
19,Drake-Miller,"North Patrick, Carlchester",Hourly Rate,Higher,Cleaning,4.5
20,"Lopez, Ford and Rose",South Jocelyn,Project-based,Higher,"Renovation, Maintenance, Cleaning, Roofing",4.7
21,"Carlson, Myers and Wilson","Port Jacobmouth, Leslieview",Subscription,Higher,HVAC,5.0
22,"Love, Barr and Richardson",East Angelaview,Hourly Rate,Lower,Electrical,3.4
23,"Hansen, Evans and Wilson",Michelleville,Subscription,Competitive,"Plumbing, Painting, Electrical",3.0
24,Butler Inc,Jamesside,Subscription,Lower,"Cleaning, Renovation, Painting, HVAC, Plumbing",4.8
25,"Garcia, Doyle and Stone","Baileytown, Port Richard, Katietown",Project-based,Competitive,"Maintenance, Renovation, Plumbing",4.4
26,Johnson LLC,South Brianamouth,Project-based,Lower,Plumbing,4.4
27,Brown Group,"Campbellview, Savannahtown, South Jason",Hourly Rate,Lower,"Painting, Electrical, Plumbing, Cleaning",4.3
28,"Smith, Perry and Harris","South Kelseyton, Nelsonberg",Project-based,Competitive,"Cleaning, Renovation",3.6
29,Norris-Carter,"North Michael, Jasonton, Kylehaven",Hourly Rate,Competitive,"Plumbing, Renovation, Cleaning, Electrical, Maintenance",3.1
30,"Nash, Deleon and Clay","Huertahaven, Lake Joel, New Haroldton",Subscription,Higher,"Roofing, Maintenance, Plumbing, Renovation, Electrical",3.9
31,"Allen, Green and Guzman","New Nicoleton, Port Patricia",Hourly Rate,Competitive,"Plumbing, Painting, HVAC, Maintenance, Electrical",4.1
32,"Tyler, Burton and Castro",East Davidville,Flat Rate,Competitive,"Renovation, Cleaning, Maintenance, Roofing",3.9
33,Jackson-Perez,"East Joseph, South Curtis",Project-based,Competitive,Roofing,3.8
34,Smith-Johnson,Julieview,Subscription,Higher,Painting,3.1
35,"Fisher, Rogers and Lam",Williamsshire,Flat Rate,Lower,"Painting, Roofing, Cleaning, Plumbing",4.0
36,Vega and Sons,Robinhaven,Flat Rate,Higher,"Maintenance, Electrical, Cleaning, HVAC",3.4
37,Chang PLC,Brianberg,Project-based,Higher,"HVAC, Cleaning, Roofing, Maintenance, Electrical",5.0
38,"Taylor, Rodriguez and Johnson","Christineview, North John, Taylorville",Subscription,Competitive,"Plumbing, Renovation",4.8
39,Wilson-Randall,"East Thomasview, Port Michelleton, North Veronica",Project-based,Lower,HVAC,4.5
40,Hall Inc,North Williamton,Flat Rate,Higher,Roofing,3.7
41,Morrison Ltd,"Silvamouth, Taylorburgh, New Abigail",Project-based,Higher,"Plumbing, Cleaning, Maintenance, Painting, Roofing",4.0
42,Fischer LLC,"West Thomas, Espinozatown, Ryanfurt",Flat Rate,Competitive,Renovation,3.7
43,Mcdonald-Jacobs,"New Theresafurt, Andrewsberg, East Monicamouth",Project-based,Higher,"Painting, Plumbing, Cleaning, Renovation",4.2
44,Mercado-Powers,"Port Gregorymouth, Tatehaven, Clarkfort",Flat Rate,Higher,"Plumbing, HVAC",4.2
45,"Adams, Edwards and Weaver",Combsport,Hourly Rate,Competitive,"Cleaning, Painting, Maintenance",4.8
46,Murray-Alexander,Lake David,Subscription,Lower,"Maintenance, Cleaning",4.6
47,Smith Ltd,Port Anthonyside,Flat Rate,Competitive,"Painting, Roofing",3.1
48,Moore LLC,"Petersonfurt, New Karenfurt",Subscription,Higher,"Plumbing, Roofing, Electrical",4.9
49,"Wallace, Collins and Bryant",New Randyfort,Flat Rate,Lower,Cleaning,3.2
50,"Francis, Wang and Waters","East Nicholasland, East Joshualand",Flat Rate,Lower,Renovation,3.3
51,Meadows Ltd,"East Jameschester, Christianborough, Sherryberg",Hourly Rate,Higher,"Plumbing, Electrical",3.5
52,Osborn-Robinson,Crawfordton,Subscription,Competitive,"Maintenance, Roofing, Painting, Cleaning, Electrical",3.3
53,Lewis LLC,"Davidchester, North Martinburgh, Beverlyberg",Flat Rate,Lower,"Roofing, Electrical, Plumbing, Cleaning",4.5
54,Johnson PLC,Burnsport,Flat Rate,Lower,"Painting, Roofing, Maintenance",4.3
55,"Garcia, Scott and Mason","Lake Tracyfort, Michaelchester, South Brandontown",Hourly Rate,Higher,"HVAC, Roofing, Maintenance, Renovation",3.2
56,Hardin-Campbell,"East Ethanmouth, Stonestad, Port Denise",Hourly Rate,Competitive,"Painting, Renovation, Maintenance, Cleaning",3.7
57,Huber-Norman,"Tinaview, Debraberg, Millerside",Subscription,Higher,"Painting, Roofing, Renovation, Cleaning, Plumbing",3.7
58,Walsh-Jackson,Kristenborough,Flat Rate,Competitive,"Renovation, Maintenance, Cleaning",5.0
59,"Ibarra, Tucker and Joseph","South Anna, Lake Josephview",Subscription,Higher,"Renovation, Plumbing, HVAC, Maintenance, Roofing",3.4
60,Conner-Zimmerman,Lake Valeriefort,Project-based,Competitive,"Plumbing, Maintenance",4.5
61,Simon-Green,Lake Jeremy,Flat Rate,Lower,"Painting, HVAC, Maintenance",4.1
62,Watson-Aguirre,"Josehaven, East Barbarahaven",Project-based,Lower,Painting,4.5
63,"Johnson, Day and Hudson",West Jean,Flat Rate,Higher,"Maintenance, Painting, Plumbing, Roofing",3.5
64,"Sampson, Hess and Perez",Port Nicoleburgh,Subscription,Competitive,"Roofing, Cleaning, Plumbing",3.4
65,Lamb PLC,Robintown,Project-based,Lower,"Roofing, Maintenance, Plumbing, Renovation, Electrical",3.0
66,Saunders-Mccoy,"Victoriastad, Robinsonmouth",Project-based,Higher,"Maintenance, Painting, Roofing",4.2
67,Jackson-Campos,"Josephhaven, Port James",Flat Rate,Competitive,"Cleaning, Roofing, Renovation, Plumbing, Electrical",3.0
