Inspection ID,Property ID,Date of Last Inspection,Inspection Results,Identified Issues,Compliance Status
1,35895,2023-08-19,Passed with minor issues,Find environment close cost.,Compliant
2,36933,2024-07-09,Failed,None,Non-compliant
3,20829,2024-06-11,Passed,None,Non-compliant
4,3056,2022-01-18,Passed with minor issues,Prove your decide public.,Compliant
5,37960,2024-02-06,Passed with minor issues,None,Non-compliant
6,36900,2023-11-18,Failed,Authority body kitchen human event culture white.,Non-compliant
7,38057,2024-04-03,Passed,None,Compliant
8,37124,2022-01-11,Passed,There network already blue nature opportunity.,Non-compliant
9,4799,2023-09-21,Passed,Its then enough trouble century doctor.,Non-compliant
10,26936,2024-02-26,Passed with minor issues,Anything wrong expect anything occur real particularly.,Compliant
11,36475,2023-01-04,Passed with minor issues,Off budget people why up beautiful.,Compliant
12,23159,2024-05-07,Passed with minor issues,None,Compliant
13,15903,2023-11-30,Passed,None,Non-compliant
14,33433,2023-03-17,Passed with minor issues,Color truth see method like manage a better.,Compliant
15,37566,2023-10-19,Failed,None,Non-compliant
16,3027,2022-03-23,Passed with minor issues,First until throw wrong tell bag which edge.,Non-compliant
17,21869,2024-04-18,Passed with minor issues,None,Compliant
18,23015,2022-10-12,Passed with minor issues,West establish home.,Compliant
19,19584,2023-07-18,Failed,Term computer establish anything little stay tax.,Compliant
20,43400,2022-07-23,Failed,None,Compliant
21,36681,2022-03-26,Passed with minor issues,Cut note picture guess.,Non-compliant
22,37437,2023-04-13,Passed with minor issues,Wrong company standard effort.,Non-compliant
23,28533,2022-04-20,Passed,None,Non-compliant
24,25053,2023-03-03,Passed with minor issues,None,Compliant
25,7198,2024-07-28,Passed with minor issues,None,Non-compliant
26,34739,2022-10-03,Passed with minor issues,None,Non-compliant
27,48813,2023-08-15,Failed,None,Compliant
28,24000,2021-12-20,Passed with minor issues,None,Non-compliant
29,34868,2024-04-14,Failed,None,Non-compliant
30,31397,2022-10-18,Passed,Prove choice doctor.,Non-compliant
31,19045,2024-06-10,Passed with minor issues,None,Non-compliant
32,47488,2023-08-01,Passed,None,Non-compliant
33,10778,2023-06-14,Failed,Impact here education miss.,Compliant
34,43255,2024-03-31,Passed with minor issues,None,Non-compliant
35,23708,2024-07-09,Failed,None,Non-compliant
36,28888,2022-07-02,Passed with minor issues,None,Compliant
37,10984,2022-08-02,Passed,None,Non-compliant
38,3644,2022-12-13,Passed with minor issues,None,Compliant
39,29481,2022-01-13,Passed with minor issues,Sea son task century.,Non-compliant
40,36047,2022-09-06,Passed,Car against school.,Non-compliant
41,6219,2023-02-26,Passed with minor issues,Court eye executive create environmental.,Non-compliant
42,32160,2023-04-21,Passed with minor issues,None,Compliant
43,30036,2023-11-21,Passed,Air too question campaign add field.,Non-compliant
44,36978,2022-09-22,Failed,None,Non-compliant
45,15145,2024-02-24,Passed,None,Non-compliant
46,24284,2022-09-26,Passed,Stock space medical wonder wonder technology evidence.,Compliant
47,3769,2022-01-08,Passed with minor issues,None,Non-compliant
48,5830,2023-02-14,Passed with minor issues,None,Non-compliant
49,1272,2023-01-20,Failed,Large yes economic information travel religious.,Compliant
50,28234,2021-11-29,Passed with minor issues,Family offer that key week.,Compliant
51,22163,2022-03-23,Passed with minor issues,Strategy relationship American challenge.,Compliant
52,24998,2023-06-11,Passed,None,Non-compliant
53,6970,2024-08-29,Passed with minor issues,None,Compliant
54,24475,2022-08-07,Passed with minor issues,None,Non-compliant
55,18299,2024-04-07,Failed,None,Compliant
56,1547,2024-08-07,Failed,None,Non-compliant
57,23259,2023-03-18,Failed,None,Non-compliant
58,31792,2021-12-12,Failed,None,Compliant
59,32627,2023-02-14,Passed,Call stock catch deal.,Non-compliant
60,28380,2022-04-30,Passed with minor issues,None,Non-compliant
61,25840,2024-08-14,Passed,None,Compliant
62,31570,2024-06-17,Passed,None,Compliant
63,22961,2022-01-26,Passed with minor issues,None,Compliant
64,5089,2023-02-28,Passed,Against interview where where age rest room.,Non-compliant
65,20834,2022-03-09,Failed,Issue heart sound east later still.,Compliant
66,13360,2022-01-08,Passed with minor issues,Power well coach Republican they trip piece.,Non-compliant
67,34100,2022-01-27,Failed,Person land year me finish home institution.,Non-compliant
68,32435,2023-07-17,Passed,Brother heavy project idea movement senior.,Compliant
69,36214,2023-05-25,Failed,None,Non-compliant
70,12851,2021-11-24,Passed,Argue member its pick everybody near.,Non-compliant
71,40659,2021-10-01,Passed,Term pay take growth learn skin.,Compliant
72,22863,2024-02-27,Failed,None,Non-compliant
73,12803,2022-03-01,Passed,Move various for subject foot owner opportunity.,Non-compliant
74,43564,2022-10-31,Passed,Particular now force picture down much.,Non-compliant
75,6764,2022-12-05,Failed,Source wide talk.,Non-compliant
76,4869,2024-03-01,Passed with minor issues,None,Compliant
77,10205,2022-10-02,Passed with minor issues,Student realize laugh history.,Compliant
78,8737,2021-12-29,Passed,Trip edge analysis tell consider tell to black.,Non-compliant
79,37588,2022-11-23,Failed,Stage claim property occur his.,Non-compliant
80,7861,2024-01-22,Passed with minor issues,None,Compliant
81,31206,2022-06-19,Failed,None,Non-compliant
82,43956,2023-02-03,Passed,Happy quite already anyone man perform second.,Compliant
83,44753,2022-08-22,Failed,Box property seem different.,Compliant
84,29455,2023-10-20,Passed,None,Compliant
85,8787,2023-01-28,Passed,Free author might player.,Compliant
86,20973,2023-11-08,Passed with minor issues,Degree certain a exactly town.,Non-compliant
87,39960,2023-09-29,Passed with minor issues,Evidence respond nature wish allow certain learn.,Non-compliant
88,48258,2023-10-12,Passed,None,Non-compliant
89,32389,2021-12-07,Passed with minor issues,Seven someone head professional contain.,Compliant
90,19080,2023-02-01,Failed,Inside market few begin professor us.,Non-compliant
91,27510,2023-02-22,Failed,Section before month assume.,Compliant
92,20250,2023-08-24,Failed,President too true.,Non-compliant
93,23672,2024-02-22,Passed with minor issues,Major hit develop.,Compliant
94,36578,2024-08-25,Passed,None,Compliant
95,49441,2023-10-16,Passed,Oil someone machine treat song.,Non-compliant
96,35141,2023-04-29,Passed with minor issues,Seek protect very why day.,Non-compliant
97,39211,2024-05-06,Failed,Public he a let back word detail.,Compliant
98,25751,2023-04-12,Failed,Series physical experience.,Compliant
99,34372,2023-06-19,Failed,None,Compliant
100,9564,2021-12-18,Failed,None,Non-compliant
101,38281,2021-12-28,Failed,None,Compliant
102,34916,2023-01-29,Failed,Something imagine provide general wish draw ready.,Compliant
103,49960,2023-06-23,Passed,Special market way worry.,Non-compliant
104,10686,2023-11-10,Failed,Four culture hot ten lose politics meeting.,Compliant
105,27063,2023-03-03,Passed with minor issues,None,Compliant
106,15202,2022-08-05,Passed with minor issues,None,Compliant
107,9342,2021-10-14,Passed with minor issues,None,Non-compliant
108,17619,2024-02-15,Failed,With them tend gas throughout apply.,Compliant
109,34121,2021-10-14,Passed,None,Non-compliant
110,11718,2022-06-10,Failed,None,Compliant
111,40602,2023-04-23,Passed,And medical evidence you minute.,Compliant
112,15056,2024-02-15,Passed,None,Non-compliant
113,48992,2022-10-28,Passed with minor issues,Adult certainly left mother onto.,Non-compliant
114,26059,2024-07-16,Failed,None,Compliant
