Property ID,Address,Size (sq ft),Age (years),Type,Floors,Condition,Construction Material,Fire Safety Systems,Accessibility Features,Recent Renovations,Current Use,Occupancy Status,Environmental Hazards
1,"2678 Brown Lake
Scotttown, OR 72942",1377,72,Commercial,4,Excellent,Concrete,"Sprinklers, Alarms","Ramps, Wide Doorways",None,Residential,Occupied,Asbestos
2,"8172 Quinn Walks
Catherineshire, NC 81032",2913,15,Industrial,6,Fair,Steel,Alarms,"Wide Doorways, None",Plant message physical also.,Office,Occupied,None
3,"10382 Jessica Stravenue
Elizabethborough, SC 06222",3379,41,Industrial,3,Fair,Concrete,"Extinguishers, Sprinklers, Alarms",Ramps,None,Warehouse,Occupied,None
4,"9611 Stevenson Stravenue Suite 248
Amandaside, HI 86178",9221,70,Residential,2,Fair,Wood,Sprinklers,Elevator,None,Retail,Vacant,None
5,"12098 Dodson Junctions Apt. 267
Lewistown, UT 04824",608,69,Residential,5,Fair,Brick,"Alarms, Sprinklers","Ramps, Elevator, None",None,Residential,Vacant,None
6,"1422 Luis Light Apt. 167
Odonnellside, DC 27306",5985,53,Commercial,7,Poor,Steel,"Alarms, Sprinklers","Wide Doorways, Ramps, Elevator",None,Retail,Vacant,None
7,"5964 Kevin Light
Margaretfurt, VT 06286",8277,90,Industrial,3,Excellent,Steel,"Extinguishers, Alarms","Ramps, Wide Doorways",Ago health.,Office,Vacant,None
8,"9486 Cooper Prairie Suite 142
Ricefurt, IL 10866",4312,89,Residential,4,Poor,Steel,Sprinklers,"Wide Doorways, Elevator, Ramps, None",Wide until.,Retail,Occupied,None
9,"768 David Loaf
Sotoville, ME 52992",9858,34,Residential,6,Good,Brick,"Sprinklers, Alarms, Extinguishers","None, Wide Doorways",None,Residential,Occupied,None
10,"PSC 7864, Box 4663
APO AP 00979",7906,85,Industrial,6,Good,Concrete,"Extinguishers, Sprinklers","None, Elevator, Wide Doorways, Ramps",Everything candidate.,Residential,Vacant,None
11,"933 Williams Freeway Suite 530
Mariaberg, WY 95136",6851,35,Commercial,9,Good,Steel,"Alarms, Extinguishers, Sprinklers","None, Elevator, Ramps",None,Warehouse,Vacant,None
12,"147 Matthew Garden
Rodneyfort, KY 11924",6703,10,Commercial,10,Excellent,Steel,Sprinklers,"Elevator, Ramps, Wide Doorways, None",None,Residential,Vacant,None
13,"5255 Pitts Center
Johnsonfort, MD 99351",529,17,Industrial,1,Fair,Wood,Alarms,"Ramps, Elevator, Wide Doorways",None,Warehouse,Occupied,Asbestos
14,"08691 Sarah Keys Apt. 121
East Dylanmouth, CA 93712",2833,28,Commercial,8,Fair,Concrete,"Sprinklers, Extinguishers, Alarms","Wide Doorways, Elevator",None,Office,Vacant,None
15,"78272 Kevin Villages Suite 922
Morganland, ND 66542",3527,21,Commercial,7,Excellent,Steel,Alarms,"None, Wide Doorways, Ramps",National particularly way.,Office,Occupied,Asbestos
16,"81410 Jasmine Manors Suite 421
South Stephanie, ND 06094",7193,49,Commercial,1,Poor,Wood,"Alarms, Sprinklers","Elevator, None, Ramps, Wide Doorways",Spend.,Warehouse,Occupied,Mold
17,"65460 Gonzalez Brook
South Douglas, NH 50126",6306,39,Residential,10,Fair,Concrete,"Extinguishers, Alarms",Wide Doorways,It sign sister.,Retail,Vacant,Lead Paint
18,"USNS Kramer
FPO AA 77364",5476,64,Commercial,1,Fair,Steel,"Alarms, Sprinklers, Extinguishers",Wide Doorways,None,Residential,Occupied,Mold
