Quote ID,Property ID,Service Required,Service Cost,Date of Quote,Region,Time Taken to Generate Quote,Quote Expiry Date,Quote Closure Status
1,12360,Electrical Work,674.17,2024-06-10,West Christopherhaven,2 days,2024-10-06,Expired
2,9474,Interior Painting,1336.85,2024-07-03,Port William,4 days,2024-10-25,Converted
3,19594,Electrical Work,3736.29,2024-05-14,Zacharytown,1 days,2024-11-07,Expired
4,46047,Plumbing,3394.64,2024-06-22,Maureenview,3 days,2025-06-13,Pending
5,11229,Plumbing,1768.52,2024-02-20,Troyberg,1 days,2025-02-10,Pending
6,25092,HVAC Installation,2607.45,2023-09-18,East Stevenfort,2 days,2025-03-09,Expired
7,18137,Electrical Work,3298.01,2023-11-14,Veronicaberg,2 days,2025-09-09,Closed
8,49206,Roof Repair,2325.96,2024-08-20,Port Kim,1 days,2025-02-20,Pending
9,38095,Interior Painting,2147.87,2024-09-10,South Shannonstad,3 days,2025-09-09,Closed
10,32729,Roof Repair,2595.92,2024-01-18,South Michael,5 days,2024-12-05,Pending
11,31943,Electrical Work,1973.64,2024-09-06,New Patricia,1 days,2025-04-26,Converted
12,40959,Roof Repair,517.97,2024-04-08,Washingtonborough,7 days,2025-06-05,Converted
13,30477,Plumbing,2898.16,2024-05-08,Markburgh,2 days,2025-08-03,Closed
14,23317,Interior Painting,3050.33,2024-05-27,New Jamesville,2 days,2024-11-20,Closed
15,31588,Interior Painting,4382.22,2024-08-04,East Destiny,1 days,2025-07-15,Pending
16,7729,Roof Repair,4795.52,2023-11-28,Jasminmouth,1 days,2025-07-13,Expired
17,35361,Roof Repair,899.01,2024-06-25,South Olivia,4 days,2025-04-08,Pending
18,40876,Electrical Work,3122.51,2023-09-30,New Stephanie,7 days,2025-02-19,Expired
19,45804,Roof Repair,4466.36,2024-03-05,South Todd,2 days,2025-07-08,Expired
20,44721,Interior Painting,3901.39,2024-04-24,Port Gregory,2 days,2025-02-09,Closed
21,48477,Interior Painting,4840.66,2024-03-11,South Eric,2 days,2024-12-03,Pending
22,40975,HVAC Installation,1418.88,2024-06-03,Patrickchester,2 days,2025-06-01,Pending
23,13905,HVAC Installation,3294.89,2024-02-08,North Lynn,7 days,2024-12-27,Converted
24,46358,Roof Repair,1318.24,2024-08-19,Kimberlyborough,3 days,2025-07-02,Expired
25,26961,Interior Painting,2110.83,2024-02-02,Richardschester,6 days,2025-05-21,Converted
26,4431,Electrical Work,1893.87,2024-02-13,Nguyenville,5 days,2025-04-29,Expired
